Months,PROPANE-ARA_large_cargo_cif_average_month_1-London_close,PROPANE-FEI_(Far_East_Index),PROPANE-Mont_Belvieu,PROPANE-Saudi_Aramco_CP_month_1,PROPANE-Sonatrach_Algeria_Bethioua_month_1,NORMAL_BUTANEARA_large_cargo_cif_average_month_1_London_close,NORMAL_BUTANEFar_East_Index_(AFEI)_Prmpt,NORMAL_BUTANEMont_Belvieu_Non-LST_(Non-LDH)_$/t_month_1_Houston_close,NORMAL_BUTANESaudi_Aramco_CP_month_1,NORMAL_BUTANESonatrach_Algeria_Bethioua_month_1,US_C5+SellerMont_Belvieu_Non-Targa_(Non-Dynegy)_month_1-Houston_close,Naphtha_BuyerJapan_c+f_half-month_1_Singapore_close,Naphtha_BuyerNWE_65_para_cif_Prmpt_London_close,,,,,,,,,,,,,,
1/1/2016,0.518452111,0.63306142,0.330230263,0.6621881,0.550863724,0.663970088,0.778752759,0.49375,0.860927152,0.739514349,0.733927632,0.912466931,0.840410053,,,,,,,,,,,,,,
2/1/2016,0.437623892,0.611627437,0.3743125,0.547024952,0.441458733,0.568386103,0.785116765,0.54509375,0.695364238,0.629139073,0.68889375,0.844437483,0.774470899,,,,,,,,,,,,,,
3/1/2016,0.522678823,0.653812598,0.451051136,0.556621881,0.441458733,0.650325449,0.811659643,0.545795455,0.706401766,0.629139073,0.864772727,0.972582973,0.927910053,,,,,,,,,,,,,,
4/1/2016,0.53579161,0.659080523,0.454613095,0.614203455,0.499040307,0.624779565,0.848838432,0.565505952,0.772626932,0.651214128,0.919047619,1.048784329,1.003149408,,,,,,,,,,,,,,
5/1/2016,0.580506814,0.661319806,0.527291667,0.623800384,0.518234165,0.627711038,0.835645958,0.654375,0.838852097,0.688741722,0.970392857,1.088781809,1.064847884,,,,,,,,,,,,,,
6/1/2016,0.607820712,0.629340429,0.497272727,0.633397313,0.556621881,0.675523881,0.772275738,0.652727273,0.805739514,0.662251656,0.995795455,1.11964887,1.103114478,,,,,,,,,,,,,,
7/1/2016,0.564640252,0.586084453,0.472,0.56621881,0.556621881,0.677416693,0.694922737,0.6204375,0.684326711,0.684326711,0.9423125,1.027645503,1.004188713,,,,,,,,,,,,,,
8/1/2016,0.512835718,0.560198918,0.444728261,0.547024952,0.483685221,0.62554706,0.679209312,0.606766304,0.6401766,0.578366446,1.022173913,0.986892737,0.975258538,,,,,,,,,,,,,,
9/1/2016,0.556378032,0.634357006,0.496994048,0.56621881,0.537428023,0.734755569,0.797803006,0.659434524,0.706401766,0.717439294,0.972440476,1.046390779,1.04788961,,,,,,,,,,,,,,
10/1/2016,0.666988118,0.737455443,0.577708333,0.652591171,0.585412668,0.886124882,0.936665615,0.763630952,0.816777042,0.794701987,1.116666667,1.167611489,1.167831948,,,,,,,,,,,,,,
11/1/2016,0.657288955,0.729584715,0.52871875,0.748560461,0.671785029,0.79584718,0.925496689,0.728625,0.971302428,0.845474614,1.00793875,1.142676768,1.101641414,,,,,,,,,,,,,,
12/1/2016,0.736872937,0.817841148,0.6325,0.729366603,0.6621881,0.885539183,1.061284558,0.997708333,0.927152318,0.838852097,1.102232143,1.260676493,1.222453704,,,,,,,,,,,,,,
1/1/2017,0.842147336,0.967946257,0.7395625,0.834932821,0.767754319,1.002305477,1.275275938,1.02075,1.092715232,0.949227373,1.0311875,1.363194444,1.321586042,,,,,,,,,,,,,,
2/1/2017,0.890704223,0.952591171,0.785526316,0.978886756,0.84452975,1.057647682,1.331677704,1.160559211,1.324503311,1.103752759,1.149276316,1.378869048,1.318220899,,,,,,,,,,,,,,
3/1/2017,0.751254193,0.8565885,0.610733696,0.921305182,0.777351248,0.907516076,1.151502064,0.770217391,1.324503311,1.081677704,1.11138587,1.242897401,1.215493444,,,,,,,,,,,,,,
4/1/2017,0.717654084,0.799171633,0.650328947,0.825335893,0.671785029,0.826279617,0.954339491,0.798782895,1.081677704,0.838852097,1.126309211,1.276524645,1.23835244,,,,,,,,,,,,,,
5/1/2017,0.680928434,0.777168449,0.639602273,0.738963532,0.633397313,0.748735625,0.923157784,0.775113636,0.860927152,0.772626932,1.072528409,1.188051146,1.150132275,,,,,,,,,,,,,,
6/1/2017,0.675054441,0.727904214,0.590767045,0.738963532,0.681381958,0.714177102,0.870335331,0.706477273,0.860927152,0.783664459,1.000255682,1.099615772,1.059974747,,,,,,,,,,,,,,
7/1/2017,0.687579655,0.757608994,0.65490625,0.6621881,0.604606526,0.724461474,0.932303164,0.79925,0.805739514,0.695364238,1.0464375,1.125881834,1.123204837,,,,,,,,,,,,,,
8/1/2017,0.826031932,0.892078171,0.760163043,0.806142035,0.767754319,0.952252559,1.077764399,0.909972826,1.015452539,0.905077263,1.098532609,1.238365801,1.216991342,,,,,,,,,,,,,,
9/1/2017,0.937415776,1.044577735,0.8885625,0.921305182,0.911708253,1.077709345,1.205905077,1.019875,1.103752759,1.048565121,1.16803125,1.356183862,1.334404132,,,,,,,,,,,,,,
10/1/2017,0.982667074,1.101818847,0.931704545,1.103646833,1.007677543,1.111333835,1.275202355,1.053778409,1.280353201,1.14790287,1.23375,1.413611741,1.373166186,,,,,,,,,,,,,,
11/1/2017,1.054801518,1.134705985,0.9753125,1.103646833,1.007677543,1.18950291,1.272024885,1.0385625,1.280353201,1.165562914,1.358875,1.577080327,1.515692641,,,,,,,,,,,,,,
12/1/2017,1.076160117,1.142298464,0.95946875,1.13243762,1.074856046,1.136387824,1.256153422,1.030125,1.258278146,1.169977925,1.36221875,1.589649471,1.524157616,,,,,,,,,,,,,,
1/1/2018,1.026468766,1.078673006,0.902708333,1.13243762,1.055662188,1.121995986,1.196041541,1.000327381,1.258278146,1.169977925,1.422946429,1.609427609,1.565566378,,,,,,,,,,,,,,
2/1/2018,0.890838772,0.959793919,0.875328947,1.007677543,0.911708253,0.98162351,1.072150575,0.957828947,1.114790287,1.070640177,1.352697368,1.495927318,1.469973545,,,,,,,,,,,,,,
3/1/2018,0.839134174,0.923338817,0.781011905,0.921305182,0.825335893,0.984648271,1.057211185,0.91172619,1.026490066,0.971302428,1.457380952,1.537887377,1.512219703,,,,,,,,,,,,,,
4/1/2018,0.87865144,0.941732931,0.820535714,0.911708253,0.834932821,1.022031126,1.101335015,0.923869048,1.037527594,0.993377483,1.505011905,1.630039053,1.60598545,,,,,,,,,,,,,,
5/1/2018,1.007605703,1.08509277,0.919659091,0.959692898,0.902111324,1.146988752,1.248396931,1.027357955,1.114790287,1.070640177,1.604176136,1.807760141,1.76606198,,,,,,,,,,,,,,
6/1/2018,1.003363769,1.078166987,0.881041667,1.074856046,1.017274472,1.126002628,1.265507726,1.033928571,1.236203091,1.19205298,1.489940476,1.717261905,1.675453515,,,,,,,,,,,,,,
7/1/2018,1.073695516,1.142252661,0.941309524,1.065259117,1.017274472,1.222257475,1.356261288,1.245684524,1.258278146,1.19205298,1.517321429,1.75237494,1.701930014,,,,,,,,,,,,,,
8/1/2018,1.052173355,1.148432502,0.977717391,1.113243762,1.065259117,1.211030203,1.406181015,1.149918478,1.313465784,1.258278146,1.520815217,1.739795918,1.696729197,,,,,,,,,,,,,,
9/1/2018,1.173174664,1.261420345,1.058651316,1.151631478,1.122840691,1.404665673,1.506125828,1.244868421,1.401766004,1.335540839,1.572434211,1.827017196,1.789484127,,,,,,,,,,,,,,
10/1/2018,1.177635484,1.19613202,0.956630435,1.257197697,1.199616123,1.430844611,1.375419906,1.103559783,1.445916115,1.445916115,1.53736413,1.81515988,1.752300437,,,,,,,,,,,,,,
11/1/2018,0.898288693,0.953112147,0.74378125,1.03646833,0.988483685,1.010435681,1.045332703,0.8401875,1.158940397,1.136865342,1.11559375,1.395408163,1.340608466,,,,,,,,,,,,,,
12/1/2018,0.83098679,0.895100235,0.6734375,0.854126679,0.738963532,0.827166212,1.000735835,0.782881944,0.91611479,0.82781457,1.011423611,1.286559377,1.223622782,,,,,,,,,,,,,,
1/1/2019,0.772908044,0.832686268,0.659553571,0.825335893,0.738963532,0.866805338,1.02423239,0.80610119,0.927152318,0.805739514,1.037440476,1.290253728,1.213504089,,,,,,,,,,,,,,
2/1/2019,0.807470154,0.889208787,0.667269737,0.84452975,0.777351248,0.960361038,1.119941133,0.841019737,1.037527594,0.949227373,1.159328947,1.390064668,1.32337963,,,,,,,,,,,,,,
3/1/2019,0.870351613,0.967279042,0.660505952,0.94049904,0.806142035,1.08973163,1.157363608,0.772678571,1.14790287,1.081677704,1.251785714,1.476001512,1.410682792,,,,,,,,,,,,,,
4/1/2019,0.855029175,1.037245224,0.627291667,0.988483685,0.786948177,1.046809713,1.219226322,0.752738095,1.181015453,1.059602649,1.303095238,1.552406148,1.48968254,,,,,,,,,,,,,,
5/1/2019,0.808479024,0.912005301,0.569744318,1.007677543,0.815738964,0.952598234,1.01369179,0.624886364,1.169977925,1.026490066,1.233011364,1.472253716,1.441830436,,,,,,,,,,,,,,
6/1/2019,0.645417083,0.787352258,0.42921875,0.825335893,0.729366603,0.74664404,0.86603927,0.483875,0.91611479,0.838852097,1.05053125,1.273322194,1.250628307,,,,,,,,,,,,,,
7/1/2019,0.645678378,0.785446049,0.438214286,0.719769674,0.642994242,0.756700835,0.879834917,0.482916667,0.783664459,0.750551876,1.085029762,1.363411548,1.331636761,,,,,,,,,,,,,,
8/1/2019,0.537118454,0.67903071,0.418693182,0.710172745,0.548944338,0.624864606,0.801821192,0.489005682,0.794701987,0.651214128,0.999545455,1.245304233,1.181909801,,,,,,,,,,,,,,
9/1/2019,0.588037382,0.739032081,0.4496875,0.671785029,0.548944338,0.742055503,0.878876275,0.54878125,0.794701987,0.688741722,1.082625,1.329837491,1.26829806,,,,,,,,,,,,,,
10/1/2019,0.65529617,0.839840342,0.461766304,0.806142035,0.623800384,0.911212112,1.003336344,0.609402174,0.960264901,0.883002208,1.112880435,1.40232684,1.294484702,,,,,,,,,,,,,,
11/1/2019,0.716460561,0.886641989,0.535789474,0.825335893,0.690978887,1.001133396,1.049905393,0.726151316,0.982339956,0.971302428,1.208190789,1.468285462,1.405643739,,,,,,,,,,,,,,
12/1/2019,0.800519578,1.04455717,0.495238095,0.84452975,0.777351248,0.962657395,1.254336172,0.68922619,1.004415011,0.993377483,1.253511905,1.556279919,1.431977513,,,,,,,,,,,,,,
1/1/2020,0.915283371,0.984462115,0.400119048,1.084452975,0.896353167,1.101425246,1.213917797,0.725059524,1.302428256,1.037527594,1.188214286,1.501039305,1.396645022,,,,,,,,,,,,,,
2/1/2020,0.626699712,0.73987524,0.392203947,0.969289827,0.690978887,0.955151435,0.961534216,0.641611842,1.203090508,1.059602649,1.053092105,1.295734127,1.231977513,,,,,,,,,,,,,,
3/1/2020,0.502561228,0.548987908,0.321477,0.825335893,0.585412668,0.643791832,0.66782053,0.342131,1.059602649,0.894039735,0.563665,0.778379101,0.655393122,,,,,,,,,,,,,,
4/1/2020,0.389139539,0.53716142,0.286563,0.441458733,0.297504798,0.281366667,0.656058278,0.335781,0.529801325,0.3200883,0.356094,0.484200529,0.384448148,,,,,,,,,,,,,,
